iter	Passed	Remaining
138	8648	41129
139	8711	41068
140	8769	40986
141	8830	40918
142	8892	40854
143	8950	40774
144	9006	40685
145	9068	40623
146	9129	40557
147	9191	40490
148	9250	40415
149	9303	40315
150	9360	40230
151	9419	40158
152	9479	40087
153	9532	39987
154	9588	39901
155	9645	39818
156	9706	39754
157	9762	39669
158	9818	39582
159	9877	39511
160	9934	39428
161	9991	39349
162	10053	39290
163	10111	39214
164	10170	39141
165	10225	39054
166	10280	38966
167	10338	38893
168	10398	38824
169	10457	38753
170	10518	38690
171	10575	38613
172	10636	38551
173	10691	38463
174	10749	38390
175	10804	38305
176	10863	38236
177	10919	38158
178	10978	38088
179	11039	38023
180	11093	37938
181	11146	37849
182	11207	37787
183	11267	37721
184	11329	37662
185	11398	37628
186	11455	37553
187	11514	37483
188	11570	37406
189	11626	37326
190	11683	37251
191	11741	37180
192	11800	37114
193	11854	37031
194	11916	36971
195	11973	36897
196	12033	36834
197	12087	36751
198	12141	36668
199	12194	36582
200	12250	36507
201	12307	36434
202	12360	36349
203	12423	36295
204	12486	36242
205	12558	36212
206	12618	36149
207	12679	36087
208	12743	36036
209	12805	35976
210	12873	35934
211	12931	35867
212	12994	35812
213	13057	35755
214	13115	35687
215	13174	35619
216	13230	35546
217	13284	35464
218	13342	35396
219	13394	35311
220	13445	35226
221	13501	35152
222	13563	35094
223	13622	35028
224	13679	34959
225	13735	34884
226	13790	34810
227	13852	34753
228	13910	34685
229	13968	34618
230	14033	34567
231	14087	34491
232	14140	34410
233	14198	34342
234	14251	34265
235	14307	34191
236	14365	34126
237	14420	34050
238	14472	33971
239	14524	33891
240	14582	33823
241	14636	33747
242	14686	33663
243	14741	33592
244	14797	33521
245	14856	33457
246	14916	33396
247	14972	33325
248	15025	33249
249	15087	33191
250	15146	33128
251	15213	33084
252	15277	33029
253	15344	32985
254	15410	32936
255	15466	32865
256	15525	32803
257	15584	32738
258	15642	32674
259	15701	32611
260	15758	32543
261	15820	32485
262	15882	32429
263	15943	32369
264	16002	32307
265	16057	32235
266	16118	32175
267	16173	32105
268	16229	32035
269	16288	31973
270	16344	31904
271	16400	31835
272	16454	31764
273	16514	31702
274	16568	31630
275	16628	31569
276	16681	31496
277	16735	31424
278	16789	31352
279	16846	31286
280	16898	31210
281	16958	31151
282	17011	31078
283	17066	31008
284	17120	30936
285	17176	30869
286	17230	30798
287	17286	30730
288	17340	30660
289	17401	30601
290	17456	30534
291	17518	30478
292	17577	30415
293	17642	30364
294	17706	30310
295	17765	30249
296	17827	30192
297	17887	30133
298	17945	30069
299	18009	30016
300	18068	29954
301	18130	29897
302	18193	29841
303	18254	29783
304	18311	29719
305	18371	29658
306	18432	29599
307	18487	29532
308	18545	29468
309	18599	29399
310	18664	29347
311	18723	29285
312	18782	29224
313	18841	29162
314	18902	29103
315	18966	29050
316	19035	29002
317	19095	28944
318	19151	28877
319	19207	28811
320	19262	28744
321	19321	28681
322	19379	28619
323	19434	28552
324	19502	28503
325	19561	28442
326	19619	28378
327	19681	28322
328	19742	28263
329	19808	28212
330	19870	28155
331	19938	28105
332	19998	28046
333	20062	27991
334	20123	27932
335	20189	27881
336	20256	27829
337	20320	27775
338	20378	27712
339	20436	27649
340	20493	27584
341	20552	27523
342	20609	27459
343	20665	27394
344	20714	27318
345	20769	27252
346	20820	27180
347	20873	27111
348	20927	27044
349	20980	26974
350	21032	26904
351	21088	26839
352	21141	26770
353	21195	26703
354	21247	26634
355	21302	26567
356	21363	26509
357	21423	26450
358	21481	26387
359	21533	26318
360	21588	26252
361	21638	26181
362	21697	26120
363	21759	26063
364	21818	26002
365	21869	25933
366	21932	25876
367	21996	25821
368	22055	25761
369	22119	25706
370	22176	25642
371	22240	25588
372	22305	25534
373	22367	25477
374	22433	25424
375	22502	25375
376	22572	25326
377	22651	25287
378	22710	25226
379	22770	25167
380	22832	25109
381	22891	25048
382	22950	24987
383	23009	24927
384	23073	24871
385	23133	24811
386	23192	24750
387	23250	24688
388	23312	24630
389	23371	24570
390	23433	24512
391	23494	24453
392	23554	24393
393	23613	24332
394	23667	24266
395	23731	24211
396	23792	24152
397	23854	24093
398	23917	24037
399	23972	23972
400	24035	23915
401	24100	23860
402	24164	23805
403	24238	23758
404	24305	23705
405	24364	23644
406	24420	23580
407	24480	23520
408	24542	23462
409	24607	23407
410	24674	23353
411	24740	23299
412	24807	23245
413	24874	23191
414	24936	23134
415	25004	23081
416	25062	23018
417	25122	22958
418	25178	22895
419	25239	22835
420	25299	22775
421	25361	22717
422	25430	22665
423	25488	22602
424	25550	22544
425	25607	22481
426	25670	22424
427	25724	22358
428	25780	22295
429	25840	22234
430	25896	22171
431	25952	22107
432	26011	22046
433	26069	21985
434	26135	21929
435	26198	21872
436	26255	21809
437	26319	21752
438	26379	21692
439	26438	21631
440	26498	21571
441	26561	21513
442	26619	21451
443	26679	21392
444	26743	21334
445	26807	21277
446	26869	21219
447	26929	21159
448	26993	21101
449	27055	21043
450	27169	21024
451	27279	21002
452	27364	20960
453	27424	20900
454	27486	20841
455	27551	20784
456	27610	20723
457	27676	20666
458	27742	20610
459	27806	20552
460	27860	20487
461	27922	20428
462	27986	20370
463	28047	20310
464	28108	20250
465	28167	20188
466	28227	20128
467	28286	20066
468	28348	20007
469	28401	19941
470	28464	19882
471	28523	19821
472	28581	19759
473	28630	19691
474	28685	19627
475	28738	19561
476	28796	19499
477	28854	19437
478	28912	19375
479	28971	19314
480	29032	19254
481	29092	19194
482	29150	19131
483	29204	19067
484	29262	19005
485	29321	18944
486	29394	18892
487	29462	18836
488	29526	18778
489	29583	18716
490	29637	18651
491	29700	18593
492	29757	18530
493	29823	18473
494	29887	18415
495	29944	18353
496	30007	18294
497	30068	18234
498	30136	18178
499	30204	18122
500	30267	18063
501	30333	18006
502	30397	17948
503	30460	17889
504	30524	17831
505	30589	17773
506	30649	17712
507	30710	17652
508	30772	17592
509	30829	17530
510	30889	17469
511	30955	17412
512	31015	17352
513	31074	17290
514	31132	17228
515	31192	17168
516	31260	17111
517	31322	17052
518	31380	16990
519	31439	16928
520	31508	16872
521	31569	16812
522	31636	16755
523	31698	16696
524	31757	16634
525	31826	16578
526	31885	16517
527	31952	16460
528	32017	16402
529	32077	16341
530	32139	16281
531	32202	16222
532	32264	16162
533	32324	16101
534	32389	16043
535	32458	15986
536	32526	15930
537	32587	15869
538	32653	15811
539	32720	15754
540	32786	15696
541	32851	15638
542	32912	15577
543	32978	15519
544	33043	15460
545	33102	15399
546	33166	15340
547	33228	15280
548	33287	15219
549	33342	15155
550	33405	15095
551	33466	15035
552	33537	14979
553	33604	14922
554	33666	14861
555	33730	14802
556	33790	14741
557	33862	14685
558	33920	14623
559	33985	14565
560	34050	14506
561	34115	14447
562	34178	14387
563	34246	14329
564	34304	14268
565	34362	14206
566	34418	14143
567	34477	14082
568	34545	14024
569	34603	13962
570	34660	13900
571	34714	13837
572	34775	13776
573	34832	13714
574	34893	13654
575	34952	13592
576	35007	13529
577	35063	13467
578	35126	13407
579	35190	13348
580	35255	13288
581	35317	13228
582	35373	13166
583	35431	13104
584	35489	13043
585	35548	12981
586	35612	12922
587	35674	12862
588	35742	12804
589	35806	12744
590	35868	12684
591	35929	12624
592	35991	12563
593	36051	12502
594	36107	12440
595	36166	12379
596	36222	12316
597	36281	12255
598	36348	12197
599	36411	12137
600	36470	12075
601	36533	12015
602	36600	11957
603	36657	11895
604	36715	11833
605	36770	11771
606	36825	11708
607	36882	11647
608	36942	11586
609	37000	11524
610	37058	11463
611	37114	11401
612	37169	11338
613	37228	11277
614	37290	11217
615	37347	11155
616	37410	11095
617	37469	11034
618	37528	10973
619	37586	10912
620	37647	10851
621	37711	10792
622	37774	10732
623	37836	10671
624	37895	10610
625	37961	10551
626	38017	10489
627	38076	10428
628	38135	10367
629	38199	10307
630	38255	10245
631	38317	10185
632	38374	10123
633	38436	10063
634	38496	10002
635	38553	9941
636	38613	9880
637	38678	9821
638	38743	9761
639	38811	9702
640	38879	9644
641	38941	9583
642	39002	9523
643	39065	9463
644	39127	9402
645	39184	9341
646	39245	9280
647	39305	9219
648	39371	9160
649	39428	9098
650	39490	9038
651	39553	8978
652	39619	8918
653	39684	8859
654	39743	8798
655	39799	8736
656	39856	8674
657	39917	8614
658	39976	8553
659	40041	8493
660	40102	8432
661	40160	8371
662	40223	8311
663	40283	8250
664	40342	8189
665	40402	8129
666	40464	8068
667	40520	8007
668	40578	7945
669	40637	7884
670	40693	7823
671	40753	7762
672	40813	7701
673	40872	7640
674	40928	7579
675	40986	7518
676	41043	7457
677	41102	7395
678	41160	7334
679	41223	7274
680	41282	7213
681	41348	7154
682	41404	7092
683	41458	7030
684	41517	6970
685	41574	6908
686	41632	6847
687	41689	6786
688	41750	6726
689	41817	6666
690	41871	6604
691	41930	6544
692	41993	6483
693	42054	6423
694	42116	6362
695	42171	6301
696	42230	6240
697	42289	6179
698	42343	6118
699	42396	6056
700	42449	5995
701	42506	5933
702	42562	5872
703	42614	5811
704	42669	5749
705	42720	5687
706	42775	5626
707	42830	5565
708	42884	5504
709	42936	5442
710	42993	5381
711	43047	5320
712	43100	5259
713	43151	5197
714	43204	5136
715	43254	5074
716	43305	5013
717	43361	4952
718	43417	4891
719	43472	4830
720	43531	4769
721	43592	4709
722	43648	4648
723	43717	4589
724	43779	4528
725	43835	4468
726	43892	4407
727	43951	4346
728	44018	4287
729	44078	4226
730	44142	4166
731	44206	4106
732	44273	4046
733	44331	3986
734	44387	3925
735	44447	3864
736	44505	3804
737	44564	3743
738	44621	3683
739	44679	3622
740	44730	3561
741	44783	3500
742	44836	3439
743	44895	3379
744	44950	3318
745	45008	3257
746	45064	3197
747	45122	3136
748	45179	3076
749	45231	3015
750	45287	2954
751	45341	2894
752	45395	2833
753	45449	2772
754	45505	2712
755	45558	2651
756	45613	2590
757	45672	2530
758	45731	2470
759	45785	2409
760	45846	2349
761	45913	2289
762	45982	2229
763	46049	2169
764	46112	2109
765	46176	2049
766	46234	1989
767	46291	1928
768	46346	1868
769	46405	1807
770	46461	1747
771	46518	1687
772	46576	1626
773	46629	1566
774	46690	1506
775	46751	1445
776	46803	1385
777	46860	1325
778	46914	1264
779	46979	1204
780	47032	1144
781	47092	1083
782	47147	1023
783	47206	963
784	47263	903
785	47319	842
786	47375	782
787	47437	722
788	47492	662
789	47550	601
790	47605	541
791	47659	481
792	47716	421
793	47770	360
794	47831	300
795	47890	240
796	47950	180
797	48017	120
798	48072	60
799	48134	0
